,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
0,1000.0,0,1000.0,0.0,8,0.171,0.1815,0.1815,41,0,7,0.05,10,0.01,0,0.1715,36,1,1,7,1050.0,7,1,1.0,0.14285714300000002,0.0,0.1925,0.1915,0.0,7,0,472,31,-1
1,3000.0,0,3000.0,0.0,138,0.1744,0.23,0.1749,5,0,6,0.14,3,0.0,0,0.1749,36,1,1,110,12115.62,34,1,0.30909090899999997,0.009090909,8976.92,0.218,0.2225,0.19135,3,0,895,10,-1
2,4000.0,0,4000.0,0.0,19,0.21899999999999997,0.24,0.2295,9,0,6,0.42,10,0.01,0,0.2195,36,1,1,18,5296.29,13,1,0.7222222220000001,0.055555556,315.08,0.251,0.25,0.36758333299999996,8,2,1090,33,-1
3,12000.0,0,12000.0,0.0,274,0.1995,0.25,0.2,5,0,6,0.14,10,0.0,0,0.2,36,1,1,222,28226.74,127,1,0.572072072,0.004504505,15998.86,0.245,0.249,0.127127778,1,5,107,4,-1
7,3100.0,0,3100.0,0.0,40,0.2895,0.29,0.29,12,0,6,0.19,10,0.0,0,0.29,36,1,1,37,3145.39,39,1,1.054054054,0.027027027000000002,0.0,0.0,0.0,0.36758333299999996,10,1,1162,40,-1
8,1000.0,0,1000.0,0.0,35,0.327,0.35,0.3275,16,4,6,0.02,10,0.0,0,0.3275,36,1,1,25,8838.68,15,1,0.6,0.04,7813.68,0.361,0.36,0.05,1,3,899,2,-1
11,4550.0,0,4550.0,0.0,103,0.2135,0.24,0.22399999999999998,5,0,6,0.3,7,0.01,0,0.214,36,1,1,80,9070.71,49,1,0.6125,0.0125,4448.16,0.251,0.2194,0.14942666699999999,1,4,1262,3,-1
16,3000.0,0,3000.0,0.0,104,0.19899999999999998,0.27,0.2095,32,0,6,0.34,7,0.01,0,0.1995,36,1,1,90,9452.82,41,1,0.45555555600000003,0.011111111000000002,6432.63,0.2315,0.26,0.150776471,3,1,1283,11,-1
18,3000.0,0,3000.0,0.0,97,0.2288,0.3203,0.2293,15,1,6,0.11,7,0.0,0,0.2293,36,1,1,84,7787.66,41,1,0.488095238,0.011904762,4757.64,0.29,0.3203,0.20281,6,4,825,24,-1
20,1000.0,0,1000.0,0.0,10,0.2095,0.25,0.25,13,0,7,0.24,7,0.04,0,0.21,36,1,1,4,1000.0,10,0,2.5,0.0,0.0,0.0,0.26,0.36758333299999996,11,4,570,44,-1
