,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
0,3500.0,0.0,3500.0,0.0,38,0.0995,0.1,0.1,15,6,1,0.3,7,0.0,1,0.1,36,1.0,1,38.0,3547.04,37.0,1.0,0.9736842105263158,0.02631578947368421,0.0,0.0,0.0,0.3675833333333333,6,3,314,25,-1.0
1,4000.0,0.0,4000.0,0.0,147,0.0495,0.15,0.05,38,2,1,0.02,7,0.0,1,0.05,36,1.0,1,132.0,14724.729999999998,22.0,1.0,0.16666666666666666,0.007575757575757577,10546.9,0.161,0.16,0.3675833333333333,5,2,622,22,-1.0
2,4000.0,0.0,4000.0,0.0,136,0.1189,0.1475,0.1194,20,0,3,0.29,7,0.0,1,0.1194,36,1.0,1,89.0,15695.11,19.0,1.0,0.21348314606741567,0.011235955056179777,11241.51,0.1424,0.1475,0.12253999999999995,5,4,890,21,-1.0
3,4600.0,0.0,4600.0,0.0,287,0.0737,0.14,0.0742,18,4,2,0.23,7,0.0,1,0.0742,36,1.0,1,247.0,18843.500000000004,63.0,1.0,0.2550607287449393,0.004048582995951417,14212.25,0.0889,0.1,0.057965625,1,4,1027,1,-1.0
4,2850.0,0.0,2850.0,0.0,33,0.129,0.1295,0.1295,16,0,3,0.31,3,0.0,1,0.1295,36,1.0,1,33.0,2850.0,33.0,0.0,1.0,0.0,0.0,0.0,0.1395,0.3675833333333333,11,2,1160,45,-1.0
5,7800.0,0.0,7800.0,0.0,138,0.1595,0.17,0.16,45,0,3,0.0,3,0.0,1,0.16,36,1.0,1,131.0,9152.04,118.0,1.0,0.900763358778626,0.0076335877862595426,1316.09,0.0,0.0,0.0425,11,4,943,44,-1.0
6,9000.0,0.0,9000.0,0.0,374,0.0883,0.12,0.0888,26,0,1,0.09,10,0.0,1,0.0888,36,1.0,1,296.0,32437.61,79.0,1.0,0.2668918918918919,0.0033783783783783786,23407.43,0.1175,0.1,0.05516666666666666,11,4,1245,45,-1.0
7,4000.0,0.0,4000.0,0.0,33,0.1495,0.15,0.15,2,0,3,0.17,7,0.0,1,0.15,36,1.0,1,33.0,4025.0,32.0,1.0,0.9696969696969696,0.030303030303030307,0.0,0.161,0.16,0.3675833333333333,5,2,768,19,-1.0
8,1300.0,0.0,1300.0,0.0,82,0.1295,0.1725,0.13,29,3,3,0.36,7,0.0,0,0.13,36,1.0,1,69.0,5612.18,23.0,1.0,0.3333333333333333,0.014492753623188406,4214.78,0.1835,0.14,0.12445384615384615,1,3,979,5,-1.0
9,1500.0,0.0,1500.0,0.0,63,0.078,0.1022,0.0785,12,3,2,0.05,7,0.0,0,0.0785,36,1.0,1,59.0,4986.0,22.0,1.0,0.3728813559322034,0.01694915254237288,3436.0,0.09,0.0865,0.016,7,6,544,28,-1.0
12,2500.0,0.0,2500.0,0.0,139,0.1095,0.17,0.11,27,6,3,0.07,7,0.0,0,0.11,36,1.0,1,126.0,8335.24,40.0,1.0,0.31746031746031744,0.007936507936507936,5816.710000000001,0.14,0.1385,0.0,5,6,1059,18,-1.0
13,13500.0,0.0,13500.0,0.0,338,0.1539,0.2,0.1594,10,0,3,0.43,7,0.005,0,0.1544,36,1.0,1,264.0,38108.249999999985,118.0,1.0,0.44696969696969696,0.003787878787878789,24448.36,0.1845,0.195,0.14815,5,3,555,20,-1.0
14,5000.0,0.0,5000.0,0.0,102,0.0815,0.0875,0.08199999999999999,13,0,1,0.04,10,0.0,1,0.08199999999999999,36,1.0,1,80.0,10979.67,57.0,1.0,0.7125,0.0125,5893.96,0.08199999999999999,0.0875,0.0575,5,5,1220,21,-1.0
16,25000.0,0.0,25000.0,0.0,615,0.1095,0.15,0.11,27,0,1,0.27,7,0.0,1,0.11,36,1.0,1,466.0,62519.45,250.0,1.0,0.5364806866952789,0.002145922746781116,37502.36,0.145,0.15,0.07166732673267329,7,1,662,28,-1.0
