crime_rate,avg_number_of_rooms,distance_to_employment_centers,property_tax_rate,pupil_teacher_ratio,TARGET
0.55778,6.335,2.1107,437,21.2,-1
0.06466000000000001,6.345,7.8278,358,14.8,1
0.01311,7.249,8.6966,226,17.9,-1
9.39063,5.627000000000001,1.8172,666,20.2,-1
1.49632,5.404,1.5916,403,14.7,-1
4.03841,6.229,3.0993,666,20.2,-1
0.51183,7.358,4.148,307,17.4,-1
0.7842,5.99,4.2579,307,21.0,-1
0.03705,6.968,5.2447,216,14.9,-1
8.64476,6.193,1.7912,666,20.2,-1
0.21409,6.438,7.3967,330,19.1,-1
0.23911999999999997,6.019,2.4091,391,19.2,1
0.59005,6.372000000000001,2.3274,437,21.2,1
0.03537,6.59,5.4917,329,16.1,1
2.7797400000000003,4.9030000000000005,1.3459,403,14.7,-1
5.669980000000001,6.683,1.3567,666,20.2,-1
0.02985,6.43,6.0622,222,18.7,-1
1.00245,6.6739999999999995,4.239,307,21.0,1
0.01439,6.604,6.2196,265,15.6,-1
0.051879999999999996,6.015,4.4272,247,18.5,1
0.04666,7.107,7.309,329,12.6,-1
2.37934,6.13,1.4191,403,14.7,-1
0.0136,5.888,7.3197,469,21.1,-1
12.8023,5.854,1.8956,666,20.2,-1
0.01709,6.728,12.1265,187,17.0,-1
6.65492,6.317,2.7344,666,20.2,-1
0.027630000000000002,6.595,5.4011,252,18.3,-1
22.5971,5.0,1.5184,666,20.2,-1
1.51902,8.375,2.162,403,14.7,-1
0.1712,5.836,2.211,384,20.9,-1
0.02055,6.382999999999999,9.1876,313,17.3,-1
11.8123,6.824,1.794,666,20.2,-1
0.20745999999999998,5.093,1.8226,711,20.1,-1
0.04301,5.662999999999999,10.5857,334,22.0,-1
4.87141,6.484,2.3053,666,20.2,-1
13.3598,5.8870000000000005,1.7821,666,20.2,-1
3.56868,6.437,2.8965,666,20.2,-1
0.03871,6.209,7.3172,293,16.6,-1
14.3337,6.229,1.9512,666,20.2,1
3.83684,6.251,2.2955,666,20.2,-1
7.40389,5.617000000000001,1.4547,666,20.2,-1
0.3692,6.567,3.6023,304,18.4,-1
9.82349,6.794,1.358,666,20.2,-1
24.8017,5.349,1.7028,666,20.2,-1
0.30346999999999996,6.312,5.4159,287,19.6,1
0.09604,6.854,4.2673,254,17.6,-1
4.64689,6.98,2.5329,666,20.2,-1
0.03551,6.167000000000001,5.4007,281,19.0,1
0.11432,6.781000000000001,2.8561,384,20.9,-1
0.17134000000000002,5.928,2.4631,432,17.8,-1
0.15875999999999998,5.961,5.2873,305,19.2,1
0.09299,5.961,2.0869,188,19.1,1
5.7081800000000005,6.75,3.3317,666,20.2,-1
0.0459,6.315,7.3172,293,16.6,1
4.8356699999999995,5.905,3.1523,666,20.2,1
0.29819,7.686,3.3751,307,17.4,-1
2.924,6.101,2.2834,403,14.7,-1
0.06663999999999999,6.546,3.1323,296,16.6,-1
0.12204000000000001,6.625,3.4952,276,18.0,-1
0.35809,6.9510000000000005,2.8617,307,17.4,-1
4.668830000000001,5.976,2.5806,666,20.2,-1
0.11069000000000001,5.9510000000000005,2.8893,276,16.4,1
5.87205,6.405,1.6768,666,20.2,-1
0.10008,6.563,2.847,193,17.8,-1
0.03932,6.405,3.0921,270,17.8,1
6.39312,6.162000000000001,2.206,666,20.2,-1
0.05789,5.877999999999999,6.497999999999999,345,18.9,1
0.57834,8.297,2.4216,264,13.0,-1
18.811,4.628,1.5539,666,20.2,-1
0.13262000000000002,5.851,2.1069,384,20.9,-1
0.01381,7.875,5.6484,255,14.4,-1
0.07244,5.8839999999999995,10.7103,411,18.3,-1
0.88125,5.6370000000000005,1.9799,437,21.2,-1
2.37857,5.871,3.7239999999999998,666,20.2,1
12.0482,5.648,1.9512,666,20.2,1
0.02009,8.033999999999999,5.118,224,14.7,-1
10.6718,6.459,1.9879,666,20.2,-1
0.9884299999999999,5.813,4.0952,307,21.0,-1
4.0974,5.468,1.4118,403,14.7,-1
0.03445,6.162000000000001,6.27,348,14.7,-1
25.0461,5.987,1.5888,666,20.2,-1
0.05602000000000001,7.831,3.1992,193,17.8,-1
0.66351,7.332999999999999,1.8946,264,13.0,-1
1.46336,7.489,1.9709,403,14.7,-1
0.31533,8.266,2.8944,307,17.4,-1
67.9208,5.683,1.4254,666,20.2,-1
0.11027,6.456,7.2255,284,19.7,1
0.61154,8.704,1.801,264,13.0,-1
0.09849,5.879,2.0063,188,19.1,-1
14.0507,6.657,1.5275,666,20.2,-1
0.11329000000000002,6.897,6.3361,300,16.6,1
0.75026,5.9239999999999995,4.3996,307,21.0,-1
0.02875,6.211,3.6659,270,18.2,-1
0.03113,6.013999999999999,8.0136,352,18.8,-1
0.32264,5.942,1.9669,437,21.2,-1
0.08265,6.127000000000001,5.5027,289,16.0,-1
3.4742800000000003,8.78,1.9047,666,20.2,1
0.0578,6.98,2.8289999999999997,193,17.8,-1
0.22438000000000002,6.027,2.4982,391,19.2,-1
0.8520399999999999,5.965,4.0123,307,21.0,-1
14.2362,6.343,1.5741,666,20.2,-1
0.6147,6.617999999999999,3.2721,307,17.4,-1
0.06162,5.898,8.0136,352,18.8,-1
5.8240099999999995,6.242000000000001,3.4242,666,20.2,1
0.02543,6.696000000000001,5.7321,370,17.6,-1
0.050230000000000004,5.706,6.6407,304,16.9,-1
13.9134,6.207999999999999,2.2222,666,20.2,-1
0.09178,6.416,2.6463,296,16.6,-1
5.29305,6.051,2.1678,666,20.2,-1
0.02729,7.185,4.9671,242,17.8,-1
7.9924800000000005,5.52,1.5331,666,20.2,-1
0.10793,6.195,2.7778,384,20.9,1
0.05479,6.6160000000000005,3.37,222,18.4,-1
0.35114,6.041,4.7211,287,19.6,1
25.9406,5.303999999999999,1.6475,666,20.2,-1
0.1265,6.7620000000000005,7.9809,284,19.7,-1
0.16211,6.24,4.428999999999999,223,18.6,-1
0.03768,7.274,7.309,329,12.6,-1
14.4208,6.461,2.0026,666,20.2,-1
0.62739,5.834,4.4986,307,21.0,-1
0.17171,5.966,6.8185,284,19.7,-1
4.812130000000001,6.7010000000000005,2.5975,666,20.2,-1
0.021769999999999998,7.61,6.27,348,14.7,-1
1.6128200000000001,6.096,3.7598,307,21.0,-1
0.06262999999999999,6.593,2.4786,273,21.0,1
0.03584,6.29,6.6115,337,16.1,-1
0.0566,7.007000000000001,3.4217,270,17.8,-1
2.7339700000000002,5.597,1.5257,403,14.7,-1
2.3004,6.319,2.1,403,14.7,-1
4.26131,6.112,2.5091,666,20.2,1
0.21124,5.631,6.0821,311,15.2,-1
0.47547,6.1129999999999995,4.0019,304,18.4,1
14.3337,4.88,1.5895,666,20.2,-1
0.10612,6.095,6.3361,300,16.6,1
6.80117,6.081,2.7175,666,20.2,1
10.0623,6.832999999999999,2.0882,666,20.2,-1
1.13081,5.712999999999999,4.2330000000000005,307,21.0,-1
0.09252,6.606,6.1899,300,16.6,-1
5.82115,6.513,2.8016,666,20.2,1
0.03659,6.3020000000000005,5.4007,281,19.0,-1
11.5779,5.0360000000000005,1.77,666,20.2,-1
2.36862,4.926,1.4608,403,14.7,-1
0.34006,6.457999999999999,2.1185,437,21.2,-1
0.84054,5.599,4.4546,307,21.0,-1
0.08308,5.604,2.9879,193,17.8,-1
0.04113,6.727,5.4007,281,19.0,-1
0.05646,6.232,5.0141,398,18.7,1
0.33147,8.247,3.6519,307,17.4,-1
0.16902,5.986000000000001,1.9929,188,19.1,1
0.035480000000000005,5.876,9.2203,315,16.4,1
4.422280000000001,6.002999999999999,2.5403,666,20.2,-1
0.06588,7.765,2.741,193,17.8,-1
0.06911,6.739,6.4798,398,15.2,-1
0.9557700000000001,6.047000000000001,4.4534,307,21.0,-1
0.01432,6.816,8.3248,256,15.1,-1
0.38214000000000004,8.04,3.2157,307,17.4,-1
2.4466799999999997,5.272,1.7364,403,14.7,-1
0.08447,5.859,2.7019,296,16.6,1
0.80271,5.456,3.7965,307,21.0,1
1.6286399999999999,5.019,1.4394,437,21.2,-1
6.288069999999999,6.341,2.072,666,20.2,-1
0.015009999999999999,6.635,8.344,280,17.0,-1
5.66637,6.218999999999999,2.0048,666,20.2,-1
