,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
1,14500.0,0.0,14500.0,0.0,520,0.1045,0.17,0.105,5,0,1,0.37,10,0.0,1,0.105,36,1.0,1,405.0,48967.43,169.0,1.0,0.417283950617284,0.0024691358024691358,34449.11,0.165,0.1495,0.09700250000000003,8,5,1144,31,-1.0
2,4000.0,0.0,4000.0,0.0,37,0.0895,0.09,0.09,9,0,2,0.19,7,0.0,1,0.09,36,1.0,1,37.0,4050.0,36.0,1.0,0.972972972972973,0.027027027027027032,0.0,0.10099999999999999,0.0,0.0,10,2,59,43,-1.0
4,25000.0,0.0,25000.0,0.0,989,0.1905,0.2855,0.191,28,1,3,0.58,10,0.0,0,0.191,36,1.0,1,891.0,70136.29000000001,329.0,1.0,0.36924803591470257,0.001122334455667789,45089.7,0.2755,0.285,0.14254195804195802,2,2,930,8,-1.0
5,20000.0,0.0,20000.0,0.0,201,0.1245,0.13,0.13,15,0,3,0.11,7,0.005,0,0.125,36,1.0,1,194.0,20148.6,198.0,1.0,1.0206185567010309,0.005154639175257732,100.0,0.0,0.0,0.0,1,3,1006,3,-1.0
6,5000.0,0.0,5000.0,0.0,59,0.1495,0.15,0.15,29,0,3,0.2,7,0.0,1,0.15,36,1.0,1,56.0,5280.690000000001,53.0,1.0,0.9464285714285714,0.017857142857142856,258.68,0.14,0.16,0.3675833333333333,7,5,1027,30,-1.0
7,2500.0,0.0,2500.0,0.0,33,0.1195,0.12,0.12,20,0,2,0.35,10,0.0,0,0.12,36,1.0,1,33.0,2522.04,32.0,1.0,0.9696969696969696,0.030303030303030307,0.0,0.0,0.13,0.3675833333333333,5,1,692,21,-1.0
8,1900.0,0.0,1900.0,0.0,31,0.0795,0.08,0.08,5,3,1,0.01,7,0.0,1,0.08,36,1.0,1,30.0,1936.97,30.0,1.0,1.0,0.03333333333333333,0.0,0.0,0.09,0.3675833333333333,6,4,673,23,-1.0
10,3000.0,0.0,3000.0,0.0,38,0.1395,0.14,0.14,11,0,3,0.17,3,0.0,1,0.14,36,1.0,1,37.0,3211.8,34.0,1.0,0.9189189189189192,0.027027027027027032,201.8,0.15100000000000002,0.15000000000000002,0.3675833333333333,10,2,985,42,-1.0
11,25000.0,0.0,25000.0,0.0,597,0.147,0.18,0.1475,5,0,3,0.18,7,0.0,1,0.1475,36,1.0,1,508.0,56326.23,269.0,1.0,0.5295275590551181,0.001968503937007874,31280.48,0.17,0.18,0.13262676056338027,7,6,1344,29,-1.0
12,6000.0,0.0,6000.0,0.0,175,0.084,0.1095,0.0845,3,0,1,0.16,7,0.0,1,0.0845,36,1.0,1,159.0,17120.66,59.0,1.0,0.3710691823899371,0.006289308176100629,11064.190000000002,0.09300000000000001,0.09,0.05201,7,1,711,29,-1.0
