,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
0,1000.0,0.0,1000.0,0.0,12,0.2295,0.23,0.23,16,0,4,0.68,7,0.0,1,0.23,36,1.0,1,12.0,1000.0,12.0,0.0,1.0,0.0,0.0,0.24100000000000002,0.24,0.3675833333333333,9,0,1126,37,-1.0
3,3000.0,0.0,3000.0,0.0,20,0.1645,0.175,0.175,5,0,4,0.14914000000000002,7,0.01,0,0.165,36,1.0,1,20.0,3011.39,19.0,1.0,0.95,0.05,0.0,0.18600000000000005,0.185,0.3675833333333333,3,2,718,13,-1.0
4,25000.0,0.0,25000.0,0.0,181,0.159,0.16,0.1595,19,0,4,0.23,10,0.0,0,0.1595,36,1.0,1,124.0,32184.01,145.0,1.0,1.1693548387096775,0.008064516129032258,7163.77,0.155,0.16,0.04570357142857144,7,0,522,31,-1.0
6,2500.0,0.0,2500.0,0.0,113,0.1245,0.17,0.135,14,0,5,0.38,7,0.01,0,0.125,36,1.0,1,75.0,11334.4,21.0,1.0,0.28,0.013333333333333334,8548.7,0.15,0.15,0.140175,12,1,510,49,-1.0
7,1250.0,0.0,1250.0,0.0,6,0.1689,0.189,0.1694,10,3,5,0.14,7,0.0,0,0.1694,36,1.0,1,6.0,1469.66,3.0,1.0,0.5,0.16666666666666666,110.88,0.2,0.199,0.3675833333333333,1,2,1367,3,-1.0
8,2500.0,0.0,2500.0,0.0,35,0.2759,0.2764,0.2764,21,7,4,0.26,7,0.0,0,0.2764,36,1.0,1,34.0,2501.15,34.0,1.0,1.0,0.029411764705882363,0.0,0.2874,0.0,0.3675833333333333,7,6,577,28,-1.0
9,12500.0,0.0,12500.0,0.0,409,0.2495,0.35,0.25,5,1,4,0.2,10,0.0,1,0.25,36,1.0,1,296.0,40718.45,158.0,1.0,0.5337837837837838,0.0033783783783783786,27757.65,0.0,0.35,0.2183975308641974,1,0,880,4,-1.0
10,3001.0,0.0,3001.0,0.0,34,0.1495,0.15,0.15,12,0,4,0.08466,5,0.0,0,0.15,36,1.0,1,33.0,3462.44,28.0,1.0,0.8484848484848485,0.030303030303030307,425.0,0.145,0.15,0.3675833333333333,3,4,1151,12,-1.0
12,4900.0,0.0,4900.0,0.0,62,0.1495,0.165,0.16,16,0,4,0.52,10,0.01,0,0.15,36,1.0,1,58.0,6565.9900000000025,42.0,1.0,0.7241379310344828,0.017241379310344827,1653.73,0.0,0.153,0.06499999999999999,6,3,398,25,-1.0
13,1500.0,0.0,1500.0,0.0,34,0.1675,0.182,0.17800000000000002,5,0,5,0.11,10,0.01,0,0.168,36,1.0,1,31.0,2802.8700000000013,20.0,1.0,0.6451612903225806,0.03225806451612903,1280.0,0.193,0.17,0.1695,8,4,1372,34,-1.0
15,7499.0,0.0,7499.0,0.0,166,0.1615,0.17,0.162,13,3,5,0.12,7,0.0,0,0.162,36,1.0,1,164.0,11542.7,107.0,1.0,0.6524390243902439,0.006097560975609756,4034.37,0.0,0.0,0.3675833333333333,8,0,1199,33,-1.0
16,1000.0,0.0,1000.0,0.0,41,0.1461,0.1778,0.1466,41,4,5,0.26,10,0.0,0,0.1466,36,1.0,1,35.0,2726.65,18.0,1.0,0.5142857142857142,0.028571428571428567,1700.75,0.145,0.1878,0.0,2,0,1186,9,-1.0
19,3000.0,0.0,3000.0,0.0,24,0.2495,0.25,0.25,45,0,5,0.12,10,0.0,0,0.25,36,1.0,1,23.0,3683.88,23.0,1.0,1.0,0.043478260869565216,0.0,0.261,0.26,0.3675833333333333,7,1,874,29,-1.0
21,7500.0,0.0,7500.0,0.0,28,0.3495,0.35,0.35,21,3,4,0.0,7,0.0,0,0.35,36,1.0,1,28.0,7542.11,27.0,1.0,0.9642857142857144,0.03571428571428571,0.0,0.0,0.36,0.3675833333333333,4,5,1423,17,-1.0
23,4000.0,0.0,4000.0,0.0,88,0.214,0.27,0.2345,5,0,5,0.37,10,0.02,0,0.2145,36,1.0,1,77.0,7991.870000000003,50.0,1.0,0.6493506493506493,0.012987012987012988,3985.44,0.24,0.0,0.115,7,0,517,31,-1.0
25,5300.0,0.0,5300.0,0.0,243,0.1675,0.23,0.168,20,0,5,0.09,7,0.0,0,0.168,36,1.0,1,199.0,20718.51,69.0,1.0,0.3467336683417085,0.005025125628140704,15408.05,0.2195,0.2024,0.1731826086956522,2,3,1111,7,-1.0
27,5000.0,0.0,5000.0,0.0,130,0.1945,0.25,0.195,5,0,5,0.23,10,0.0,0,0.195,36,1.0,1,110.0,11144.460000000005,59.0,1.0,0.5363636363636364,0.00909090909090909,6107.19,0.245,0.23,0.0,10,3,1346,43,-1.0
29,3000.0,0.0,3000.0,0.0,19,0.2294,0.2499,0.2499,16,0,5,0.43,3,0.02,1,0.2299,36,1.0,1,19.0,3001.430000000001,18.0,1.0,0.9473684210526316,0.05263157894736842,0.0,0.0,0.2599,0.0,6,1,579,24,-1.0
30,8000.0,0.0,8000.0,0.0,108,0.1845,0.185,0.185,16,0,4,0.34,10,0.0,0,0.185,36,1.0,1,108.0,8017.31,107.0,1.0,0.9907407407407408,0.009259259259259259,0.0,0.196,0.195,0.3675833333333333,11,3,989,45,-1.0
32,3000.0,0.0,3000.0,0.0,41,0.1995,0.2,0.2,19,0,5,0.08,3,0.0,0,0.2,36,1.0,1,39.0,3009.8,40.0,1.0,1.0256410256410255,0.02564102564102564,0.0,0.0,0.21,0.3675833333333333,10,1,444,42,-1.0
35,6000.0,0.0,6000.0,0.0,119,0.151,0.21,0.1515,30,4,4,0.06,7,0.0,0,0.1515,36,1.0,1,119.0,6943.0300000000025,104.0,1.0,0.8739495798319328,0.008403361344537815,908.09,0.2,0.22,0.3675833333333333,4,0,655,17,-1.0
36,1750.0,0.0,1750.0,0.0,20,0.3026,0.3031,0.3031,27,1,5,0.0,7,0.0,0,0.3031,36,1.0,1,20.0,1753.28,19.0,1.0,0.95,0.05,0.0,0.0,0.3131,0.3675833333333333,5,6,1034,19,-1.0
37,3800.0,0.0,3800.0,0.0,28,0.1495,0.15,0.15,37,0,4,0.84,10,0.0,1,0.15,36,1.0,1,26.0,3800.0,28.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.3675833333333333,11,6,1101,44,-1.0
40,2900.0,0.0,2900.0,0.0,51,0.2995,0.34,0.3,6,1,4,0.23,7,0.0,0,0.3,36,1.0,1,49.0,4806.74,42.0,1.0,0.8571428571428571,0.020408163265306117,750.0,0.0,0.35000000000000003,0.0,5,3,609,22,-1.0
41,3000.0,0.0,3000.0,0.0,22,0.162,0.1625,0.1625,5,0,5,0.16,7,0.0,0,0.1625,36,1.0,1,19.0,3064.0,20.0,1.0,1.0526315789473684,0.05263157894736842,50.0,0.17350000000000002,0.1725,0.013541666666666669,5,4,724,19,-1.0
43,4000.0,0.0,4000.0,0.0,84,0.1345,0.1564,0.135,9,5,4,0.28,7,0.0,0,0.135,36,1.0,1,80.0,5362.97,62.0,1.0,0.775,0.0125,1325.02,0.0,0.0,0.07170344827586207,12,5,799,52,-1.0
44,6500.0,0.0,6500.0,0.0,273,0.1585,0.2,0.159,30,0,5,0.34,10,0.0,1,0.159,36,1.0,1,195.0,25415.84,75.0,1.0,0.38461538461538464,0.005128205128205128,18042.59,0.195,0.2,0.16176792452830185,12,2,848,52,-1.0
45,10000.0,0.0,10000.0,0.0,211,0.1995,0.2285,0.2,30,1,4,0.29,7,0.0,0,0.2,36,1.0,1,206.0,14838.750000000002,148.0,1.0,0.7184466019417476,0.0048543689320388345,4213.49,0.0,0.2125,0.0997683544303798,5,4,787,22,-1.0
49,6000.0,0.0,6000.0,0.0,58,0.1995,0.2,0.2,5,0,4,0.2,7,0.0,0,0.2,36,1.0,1,58.0,6019.4299999999985,57.0,1.0,0.9827586206896552,0.017241379310344827,0.0,0.21100000000000002,0.21,0.3675833333333333,9,0,1332,38,-1.0
50,6000.0,0.0,6000.0,0.0,85,0.1945,0.2,0.2,13,0,4,0.04,10,0.005,1,0.195,36,1.0,1,82.0,6177.52,84.0,1.0,1.024390243902439,0.012195121951219513,0.0,0.21100000000000002,0.21,0.3675833333333333,3,1,957,10,-1.0
51,5000.0,0.0,5000.0,0.0,39,0.16899999999999998,0.1695,0.1695,6,0,5,0.2,7,0.0,1,0.1695,36,1.0,1,38.0,5097.34,37.0,1.0,0.9736842105263158,0.02631578947368421,50.0,0.1805,0.17950000000000002,0.0,7,4,536,29,-1.0
52,1500.0,0.0,1500.0,0.0,1,0.0495,0.07,0.07,3,0,5,0.06,10,0.02,0,0.05,36,1.0,1,1.0,1500.0,1.0,0.0,1.0,0.0,0.0,0.081,0.0,0.3675833333333333,3,5,867,13,-1.0
55,2000.0,0.0,2000.0,0.0,57,0.1172,0.139,0.1177,31,7,4,0.31,7,0.0,0,0.1177,36,1.0,1,57.0,3724.67,29.0,1.0,0.5087719298245614,0.017543859649122806,1685.0,0.15000000000000002,0.1235,0.3675833333333333,8,4,867,31,-1.0
56,7500.0,0.0,7500.0,0.0,171,0.2445,0.2965,0.245,16,3,4,0.38,3,0.0,1,0.245,36,1.0,1,114.0,25844.80999999999,75.0,1.0,0.6578947368421053,0.008771929824561403,17777.82,0.0,0.29,0.1413777777777778,2,5,1194,5,-1.0
58,6500.0,0.0,6500.0,0.0,169,0.1715,0.2,0.177,9,0,5,0.2,10,0.005,0,0.172,36,1.0,1,151.0,13100.17,87.0,1.0,0.5761589403973509,0.006622516556291391,6590.790000000001,0.21100000000000002,0.1945,0.11358333333333333,4,2,1362,15,-1.0
61,5000.0,0.0,5000.0,0.0,218,0.1245,0.155,0.125,12,0,4,0.05,7,0.0,1,0.125,36,1.0,1,154.0,18189.56,58.0,1.0,0.37662337662337664,0.006493506493506494,13160.88,0.1475,0.1465,0.0854086956521739,9,5,1013,36,-1.0
