,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
1,25000.0,0.0,25000.0,0.0,807,0.118,0.1694,0.1185,30,7,1,0.1,7,0.0,1,0.1185,36,1.0,1,683.0,66034.73999999999,266.0,1.0,0.3894582723279649,0.0014641288433382134,40986.650000000016,0.1594,0.1694,0.09032763157894726,6,4,587,26,-1.0
2,3000.0,0.0,3000.0,0.0,67,0.08900000000000001,0.1225,0.0945,5,0,3,0.1374,7,0.005,0,0.0895,36,1.0,1,54.0,8331.0,31.0,1.0,0.5740740740740741,0.018518518518518517,5329.0,0.1,0.0,0.0,3,0,1165,10,-1.0
3,7500.0,0.0,7500.0,0.0,231,0.0888,0.12,0.0893,6,0,1,0.23,7,0.0,1,0.0893,36,1.0,1,192.0,24363.02,74.0,1.0,0.3854166666666667,0.005208333333333333,16859.73,0.115,0.1096,0.051169444444444455,6,2,927,24,-1.0
4,20000.0,0.0,20000.0,0.0,370,0.1395,0.1599,0.14,5,4,3,0.32,10,0.0,1,0.14,36,1.0,1,369.0,21164.500000000004,362.0,1.0,0.9810298102981032,0.002710027100271003,1162.14,0.0,0.15,0.3675833333333333,1,2,796,2,-1.0
5,8863.0,0.0,8863.0,0.0,297,0.1136,0.15,0.1241,15,0,3,0.17,10,0.01,0,0.1141,36,1.0,1,222.0,27848.05000000001,92.0,1.0,0.4144144144144144,0.0045045045045045045,18981.25,0.135,0.1345,0.06111612903225805,11,5,623,44,-1.0
6,2550.0,0.0,2550.0,0.0,40,0.1319,0.138,0.1324,5,0,3,0.15,10,0.0,1,0.1324,36,1.0,1,39.0,3609.21,29.0,1.0,0.7435897435897436,0.02564102564102564,950.09,0.14900000000000002,0.14800000000000002,0.3675833333333333,9,1,1330,39,-1.0
8,10000.0,0.0,10000.0,0.0,354,0.1055,0.198,0.106,6,3,1,0.0,7,0.0,1,0.106,36,1.0,1,317.0,28009.66,156.0,1.0,0.4921135646687697,0.003154574132492113,18004.2,0.1375,0.198,0.09090925925925927,6,3,614,26,-1.0
12,20000.0,0.0,20000.0,0.0,613,0.16699999999999998,0.2854,0.1675,5,3,2,0.13,7,0.0,1,0.1675,36,1.0,1,450.0,67776.04000000001,197.0,1.0,0.43777777777777777,0.0022222222222222227,47539.64,0.2754,0.2854,0.14539252336448594,2,0,1328,7,-1.0
13,20000.0,0.0,20000.0,0.0,571,0.1245,0.18,0.125,20,0,2,0.3,10,0.0,1,0.125,36,1.0,1,423.0,57358.87000000001,191.0,1.0,0.4515366430260047,0.0023640661938534287,37303.92,0.1645,0.149,0.07491785714285715,4,3,886,15,-1.0
14,11900.0,0.0,11900.0,0.0,88,0.1995,0.2,0.2,30,0,2,0.64,7,0.0,1,0.2,36,1.0,1,83.0,11904.38,87.0,1.0,1.0481927710843373,0.012048192771084338,0.0,0.0,0.21,0.3675833333333333,8,4,6,34,-1.0
