,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
4,3500.0,0,3500.0,0.0,32,0.27699999999999997,0.29,0.29,12,0,6,0.32,5,0.0125,1,0.2775,36,1,1,29,3500.0,32,0,1.103448276,0.0,0.0,0.0,0.0,0.36758333299999996,9,5,587,36,-1
7,16000.0,0,16000.0,0.0,120,0.2645,0.29,0.29,16,0,6,0.12,10,0.025,0,0.265,36,1,1,109,16289.62,117,1,1.073394495,0.009174311999999999,250.0,0.301,0.3,0.36758333299999996,9,2,724,39,-1
11,2025.0,0,2025.0,0.0,29,0.2495,0.27,0.27,13,0,8,0.08,7,0.02,0,0.25,36,1,1,27,2378.0,22,1,0.814814815,0.037037037,350.0,0.245,0.0,0.36758333299999996,11,6,229,47,-1
16,9700.0,0,9700.0,0.0,211,0.2495,0.29,0.26,5,0,6,0.81,10,0.01,0,0.25,36,1,1,142,23346.89,75,1,0.5281690139999999,0.007042254,13636.82,0.275,0.28,0.157765714,11,2,614,44,-1
18,1500.0,0,1500.0,0.0,15,0.13699999999999998,0.15,0.15,29,0,6,0.23,10,0.0125,0,0.1375,36,1,1,11,1525.63,14,1,1.2727272729999999,0.090909091,0.0,0.161,0.0,0.36758333299999996,9,3,670,38,-1
23,2550.0,0,2550.0,0.0,117,0.2245,0.29,0.225,5,0,7,0.18,7,0.0,0,0.225,36,1,1,95,11118.29,35,1,0.36842105299999994,0.010526316,8528.28,0.28,0.29,0.20755384600000001,4,3,928,15,-1
28,2000.0,0,2000.0,0.0,37,0.1983,0.2,0.1988,41,0,7,0.05,5,0.0,0,0.1988,36,1,1,30,3088.19,22,1,0.7333333329999999,0.033333333,1066.81,0.195,0.2,0.36758333299999996,10,0,520,42,-1
29,1600.0,0,1600.0,0.0,6,0.1495,0.15,0.15,29,0,7,0.06,5,0.0,0,0.15,36,1,1,5,1750.0,5,1,1.0,0.2,0.0,0.161,0.16,0.36758333299999996,12,4,1391,49,-1
31,1000.0,0,1000.0,0.0,3,0.3495,0.35,0.35,16,1,7,0.05,7,0.0,0,0.35,36,1,1,2,1000.0,3,0,1.5,0.0,0.0,0.361,0.36,0.36758333299999996,2,4,333,9,-1
32,3000.0,0,3000.0,0.0,36,0.2895,0.29,0.29,5,0,6,0.25,10,0.0,0,0.29,36,1,1,32,3361.55,31,1,0.96875,0.03125,302.8,0.301,0.0,0.0,9,3,1282,39,-1
33,1000.0,0,1000.0,0.0,7,0.1895,0.19,0.19,30,0,7,0.045939999999999995,5,0.0,0,0.19,36,1,1,7,1000.0,7,0,1.0,0.0,0.0,0.201,0.0,0.36758333299999996,2,6,17,8,-1
35,2000.0,0,2000.0,0.0,60,0.2296,0.29,0.2301,28,0,6,0.19,10,0.0,0,0.2301,36,1,1,51,4663.77,25,1,0.490196078,0.019607843,2655.8,0.28,0.2695,0.36758333299999996,10,2,558,43,-1
