,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
6,1000.0,0,1000.0,0.0,57,0.1995,0.33,0.2,20,1,7,0.08,7,0.0,0,0.2,36,1,1,37,4622.33,14,1,0.37837837799999996,0.027027027000000002,3295.33,0.341,0.34,0.2597375,5,2,791,20,-1
8,4000.0,0,4000.0,0.0,60,0.2895,0.29,0.29,5,0,6,0.27,7,0.0,0,0.29,36,1,1,54,4056.42,58,1,1.074074074,0.018518519,50.0,0.0,0.0,0.013809523999999998,9,0,1332,38,-1
12,1500.0,0,1500.0,0.0,6,0.3495,0.35,0.35,6,7,6,0.34,7,0.0,1,0.35,36,1,1,6,1508.1,5,1,0.833333333,0.166666667,0.0,0.0,0.36,0.0,8,6,914,32,-1
14,1700.0,0,1700.0,0.0,107,0.204,0.35,0.2045,32,4,6,0.27,7,0.0,0,0.2045,36,1,1,65,10561.1,20,1,0.307692308,0.015384615,8480.33,0.361,0.36,0.3016,1,4,658,4,-1
15,4000.0,0,4000.0,0.0,219,0.1775,0.29,0.188,1,0,6,0.19,7,0.01,1,0.17800000000000002,36,1,1,174,19686.14,39,1,0.224137931,0.005747126,15655.32,0.275,0.2395,0.18128529399999999,2,1,838,6,-1
18,1000.0,0,1000.0,0.0,29,0.209,0.24,0.222,13,0,7,0.2,3,0.0125,0,0.2095,36,1,1,23,2280.0,9,1,0.39130434799999997,0.043478261,1230.0,0.251,0.25,0.2275,6,2,903,23,-1
23,1000.0,0,1000.0,0.0,77,0.17800000000000002,0.29,0.1785,16,0,6,0.13,7,0.0,0,0.1785,36,1,1,62,6302.05,15,1,0.24193548399999998,0.016129031999999998,5257.4,0.301,0.26,0.192083333,9,6,819,39,-1
27,1000.0,0,1000.0,0.0,15,0.1495,0.15,0.15,37,0,7,0.14,7,0.0,0,0.15,36,1,1,14,1380.08,13,1,0.9285714290000001,0.071428571,130.0,0.161,0.0,0.0,11,4,394,45,-1
29,2550.0,0,2550.0,0.0,11,0.2095,0.2225,0.2225,5,0,7,0.0,10,0.0125,0,0.21,36,1,1,11,2562.0,10,1,0.9090909090000001,0.090909091,0.0,0.2335,0.0,0.36758333299999996,5,0,723,21,-1
34,1000.0,0,1000.0,0.0,6,0.1795,0.2,0.2,26,0,7,0.02,7,0.02,0,0.18,36,1,1,6,1000.0,6,0,1.0,0.0,0.0,0.21100000000000002,0.0,0.0,2,3,1118,5,-1
