,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
0,7500.0,0.0,7500.0,0.0,179,0.1765,0.2175,0.177,53,4,4,0.32,7,0.0,0,0.177,36,1.0,1,175.0,13343.510000000002,107.0,1.0,0.6114285714285714,0.005714285714285714,5802.67,0.2,0.2125,0.051597142857142855,6,2,914,23,-1.0
1,6001.0,0.0,6001.0,0.0,68,0.222,0.2225,0.2225,0,0,5,0.35,10,0.0,0,0.2225,36,1.0,1,65.0,6014.49,67.0,1.0,1.0307692307692309,0.015384615384615384,0.0,0.0,0.0,0.0,5,0,739,22,-1.0
2,10000.0,0.0,10000.0,0.0,110,0.1645,0.17,0.17,29,0,4,0.18,10,0.005,1,0.165,36,1.0,1,104.0,10040.11,109.0,1.0,1.0480769230769231,0.009615384615384616,0.0,0.18100000000000002,0.18000000000000002,0.3675833333333333,5,3,967,18,-1.0
3,1400.0,0.0,1400.0,0.0,80,0.1295,0.157,0.13,6,0,5,0.1,10,0.0,0,0.13,36,1.0,1,71.0,5464.81,23.0,1.0,0.323943661971831,0.014084507042253518,4027.79,0.129,0.15,0.10617368421052632,10,0,631,40,-1.0
5,3400.0,0.0,3400.0,0.0,56,0.1545,0.1575,0.155,12,0,4,0.27,7,0.0,1,0.155,36,1.0,1,51.0,4546.01,42.0,1.0,0.8235294117647058,0.0196078431372549,1100.0,0.0,0.1575,0.0,4,6,169,13,-1.0
6,10100.0,0.0,10100.0,0.0,208,0.2095,0.235,0.21,40,0,4,0.27,10,0.0,0,0.21,36,1.0,1,174.0,17768.170000000002,136.0,1.0,0.7816091954022989,0.005747126436781609,7645.700000000003,0.0,0.235,0.05486363636363637,10,3,973,43,-1.0
7,3000.0,0.0,3000.0,0.0,51,0.2825,0.35,0.28300000000000003,5,0,4,0.17,10,0.0,1,0.28300000000000003,36,1.0,1,46.0,3797.87,38.0,1.0,0.8260869565217391,0.021739130434782608,702.05,0.361,0.36,0.3675833333333333,11,2,164,47,-1.0
8,7000.0,0.0,7000.0,0.0,126,0.104,0.157,0.1045,16,1,4,0.19,7,0.0,1,0.1045,36,1.0,1,126.0,7422.2199999999975,118.0,1.0,0.9365079365079364,0.007936507936507936,375.0,0.0,0.1145,0.0,4,0,1222,18,-1.0
9,4215.0,0.0,4215.0,0.0,184,0.1095,0.15,0.115,15,0,5,0.44,10,0.005,0,0.11,36,1.0,1,127.0,19941.49,35.0,1.0,0.2755905511811024,0.007874015748031496,15578.64,0.1345,0.1345,0.12073333333333333,2,6,734,7,-1.0
12,1500.0,0.0,1500.0,0.0,79,0.2245,0.35,0.225,25,1,5,0.53,7,0.0,1,0.225,36,1.0,1,64.0,5065.39,23.0,1.0,0.359375,0.015625,3538.44,0.361,0.36,0.2344,7,1,1098,31,-1.0
