,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
3,1000.0,0,1000.0,0.0,8,0.1995,0.2,0.2,1,0,6,0.2,7,0.0,0,0.2,36,1,1,8,1026.3,7,1,0.875,0.125,0.0,0.21100000000000002,0.21,0.36758333299999996,6,3,874,26,-1
6,4000.0,0,4000.0,0.0,60,0.2785,0.29,0.27899999999999997,13,0,6,0.2,7,0.0,1,0.27899999999999997,36,1,1,56,5962.85,41,1,0.732142857,0.017857143,1911.01,0.28,0.29,0.36758333299999996,3,4,1034,10,-1
9,3000.0,0,3000.0,0.0,22,0.2895,0.29,0.29,19,0,6,0.26,3,0.0,1,0.29,36,1,1,20,3146.9,21,1,1.05,0.05,0.0,0.301,0.3,0.0,9,4,347,38,-1
10,3575.0,0,3575.0,0.0,29,0.3495,0.35,0.35,2,4,6,0.11,10,0.0,0,0.35,36,1,1,23,4162.24,27,1,1.173913043,0.043478261,500.0,0.361,0.36,0.0,2,6,988,8,-1
11,1000.0,0,1000.0,0.0,9,0.1895,0.2,0.2,31,0,6,1.45,7,0.01,0,0.19,36,1,1,9,1050.0,8,1,0.8888888890000001,0.111111111,0.0,0.0,0.0,0.0,3,4,1008,13,-1
13,1000.0,0,1000.0,0.0,16,0.3195,0.3203,0.32,11,4,6,0.0,7,0.0,0,0.32,36,1,1,16,1125.31,13,1,0.8125,0.0625,100.0,0.3313,0.3303,0.0,6,6,1040,24,-1
14,1000.0,0,1000.0,0.0,13,0.174,0.2,0.1945,39,0,6,0.08,7,0.02,0,0.1745,36,1,1,2,1100.0,11,0,5.5,0.0,100.0,0.21100000000000002,0.21,0.36758333299999996,3,3,915,10,-1
15,5300.0,0,5300.0,0.0,83,0.2295,0.24,0.24,5,0,6,0.2,10,0.01,0,0.23,36,1,1,65,6164.69,67,1,1.0307692309999998,0.015384615,828.38,0.251,0.0,0.10222222199999999,7,3,960,27,-1
16,2000.0,0,2000.0,0.0,1,0.1395,0.15,0.15,29,0,7,0.11,7,0.01,1,0.14,36,1,1,1,2000.0,1,0,1.0,0.0,0.0,0.0,0.16,0.36758333299999996,2,5,1154,8,-1
20,5499.0,0,5499.0,0.0,43,0.2695,0.27,0.27,13,0,6,0.22,5,0.0,1,0.27,36,1,1,41,5500.0,42,1,1.0243902440000001,0.024390244,0.0,0.0,0.0,0.36758333299999996,12,0,668,49,-1
