,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
0,6001.0,0.0,6001.0,0.0,68,0.2169,0.2174,0.2174,0,0,5,0.3,7,0.0,0,0.2174,36,1.0,1,67.0,6266.0,64.0,1.0,0.9552238805970148,0.01492537313432836,250.0,0.0,0.2274,0.3675833333333333,1,2,1058,1,-1.0
1,22000.0,0.0,22000.0,0.0,246,0.2445,0.245,0.245,12,0,4,0.47,7,0.0,1,0.245,36,1.0,1,229.0,22715.19,238.0,1.0,1.039301310043668,0.004366812227074236,675.4300000000002,0.0,0.255,0.3675833333333333,11,5,1394,44,-1.0
2,6000.0,0.0,6000.0,0.0,84,0.3495,0.35,0.35,29,6,4,0.15,7,0.0,0,0.35,36,1.0,1,83.0,6019.659999999999,83.0,1.0,1.0,0.012048192771084338,0.0,0.0,0.0,0.3675833333333333,9,3,955,39,-1.0
4,7700.0,0.0,7700.0,0.0,183,0.132,0.15,0.1325,29,0,4,0.23,10,0.0,1,0.1325,36,1.0,1,148.0,17575.989999999998,82.0,1.0,0.5540540540540541,0.006756756756756757,9804.42,0.14,0.15,0.10804117647058824,2,4,853,7,-1.0
5,2500.0,0.0,2500.0,0.0,46,0.104,0.1207,0.1045,21,2,4,0.14,3,0.0,1,0.1045,36,1.0,1,45.0,3733.52,31.0,1.0,0.6888888888888889,0.022222222222222227,1210.0,0.1317,0.1307,0.0,3,3,525,11,-1.0
6,17000.0,0.0,17000.0,0.0,589,0.1889,0.29,0.1894,5,0,5,0.18,10,0.0,0,0.1894,36,1.0,1,428.0,53467.24000000002,200.0,1.0,0.4672897196261682,0.002336448598130841,36326.58,0.28,0.2495,0.1198904761904762,5,3,897,20,-1.0
7,4000.0,0.0,4000.0,0.0,195,0.1675,0.2295,0.168,16,0,5,0.08,7,0.0,1,0.168,36,1.0,1,137.0,16247.91,48.0,1.0,0.35036496350364965,0.007299270072992701,12245.24,0.2245,0.19699999999999998,0.131785,9,3,986,36,-1.0
8,3000.0,0.0,3000.0,0.0,114,0.1495,0.199,0.15,10,0,4,0.12,7,0.0,0,0.15,36,1.0,1,99.0,9785.27,41.0,1.0,0.4141414141414141,0.010101010101010102,6731.71,0.18899999999999997,0.19,0.12367857142857144,9,5,1030,37,-1.0
11,6500.0,0.0,6500.0,0.0,125,0.175,0.1826,0.1755,27,0,5,0.15,10,0.0,0,0.1755,36,1.0,1,111.0,11076.37,76.0,1.0,0.6846846846846847,0.009009009009009007,4528.79,0.0,0.182,0.051385714285714285,5,4,805,21,-1.0
15,1500.0,0.0,1500.0,0.0,18,0.1872,0.1877,0.1877,26,0,5,0.05,10,0.0,1,0.1877,36,1.0,1,17.0,1610.97,17.0,1.0,1.0,0.05882352941176471,0.0,0.1987,0.1977,0.0,11,0,534,46,-1.0
