,AmountFunded,AmountRemaining,AmountBorrowed,BankDraftFeeAnnualRate,BidCount,BidMaximumRate,BorrowerMaximumRate,BorrowerRate,BorrowerState,Category,CreditGrade,DebtToIncomeRatio,Duration,GroupLeaderRewardRate,IsBorrowerHomeowner,LenderRate,LoanTermInMonths,PercentFunded,ProductSpecID,people_count,amount_sum,winningpeople_sum,Partially Participating_people_sum,win/totol,partial/totolpeople,outbid_money,0.3T_yield_max,0.6T_rate_max,0.9T_rate_mean,CreationDate_month,CreationDate_week,time_minute,weekofyear,TARGET
0,2000.0,0.0,2000.0,0.0,52,0.0941,0.11,0.0946,3,4,2,0.2,5,0.0,1,0.0946,36,1.0,1,51.0,4505.290000000001,24.0,1.0,0.4705882352941176,0.0196078431372549,2130.99,0.098,0.1085,0.05898,1,1,1264,5,-1.0
1,25000.0,0.0,25000.0,0.0,286,0.1495,0.15,0.15,19,0,2,0.22,10,0.0,1,0.15,36,1.0,1,274.0,25054.0,285.0,1.0,1.04014598540146,0.0036496350364963507,0.0,0.0,0.0,0.3675833333333333,10,2,886,41,-1.0
2,2900.0,0.0,2900.0,0.0,91,0.0845,0.11,0.085,3,0,1,0.19,7,0.0,1,0.085,36,1.0,1,75.0,9074.64,27.0,1.0,0.36,0.013333333333333334,6125.08,0.08900000000000001,0.09,0.0,9,2,722,38,-1.0
3,1000.0,0.0,1000.0,0.0,22,0.0695,0.08,0.07,26,0,1,0.01,7,0.0,1,0.07,36,1.0,1,20.0,1907.59,11.0,1.0,0.55,0.05,692.63,0.067,0.0735,0.035,5,2,1067,22,-1.0
4,2000.0,0.0,2000.0,0.0,89,0.0784,0.1094,0.0789,15,1,2,0.2,7,0.0,0,0.0789,36,1.0,1,86.0,6378.96,19.0,1.0,0.22093023255813954,0.011627906976744186,4362.06,0.0777,0.0,0.0667,9,6,1092,37,-1.0
5,5000.0,0.0,5000.0,0.0,30,0.0795,0.08,0.08,16,3,1,0.0,7,0.0,1,0.08,36,1.0,1,25.0,6004.08,29.0,1.0,1.16,0.04,0.0,0.0,0.0,0.0,5,6,745,21,-1.0
6,12000.0,0.0,12000.0,0.0,379,0.098,0.125,0.101,13,0,1,0.33,7,0.0025,1,0.0985,36,1.0,1,273.0,42156.2,141.0,1.0,0.5164835164835165,0.003663003663003664,30147.56,0.1175,0.1095,0.05603333333333335,12,1,944,50,-1.0
7,8000.0,0.0,8000.0,0.0,194,0.098,0.11,0.0985,3,0,2,0.2,10,0.0,1,0.0985,36,1.0,1,170.0,16470.980000000003,91.0,1.0,0.5352941176470588,0.005882352941176471,8429.1,0.105,0.11,0.04727058823529412,4,4,851,14,-1.0
8,1500.0,0.0,1500.0,0.0,37,0.0745,0.083,0.075,7,4,2,0.11,7,0.0,1,0.075,36,1.0,1,36.0,2913.89,19.0,1.0,0.5277777777777778,0.027777777777777776,1328.89,0.0,0.093,0.053488888888888884,2,4,962,9,-1.0
9,4400.0,0.0,4400.0,0.0,138,0.0945,0.16,0.1025,14,0,2,0.19,10,0.0075,0,0.095,36,1.0,1,133.0,13290.45,37.0,1.0,0.2781954887218045,0.0075187969924812035,8869.49,0.099,0.17,0.3675833333333333,1,0,1252,2,-1.0
